Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19425123258,"Jul 22, 2026, 10:42:53 PM",Easy,Run,"",3907,12.01,174.0,17,false,,,activities/20545857316.fit.gz,,,3907.0,3650.0,12013.4,6.36,3.291,24.0,23.0,172.0,183.8,6.8,0.0,,,101.0,90.0,174.0,139.0,,280.0,668.0,,,17.0,1021959.0,,,,,,,,274.0,3909.0,,,0.0,,1.0,12091.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.075,0.0,,,,10840.0,0.0,,460.0,206.0,3.313,,,,,,,,,,,,""
19365204607,"Jul 18, 2026, 12:16:18 PM",Easy,Run,No more hills,3604,11.00,174.0,49,false,,,activities/20484724373.fit.gz,,,3604.0,3430.0,11004.9,4.6,3.208,36.0,33.0,3.8,17.0,11.8,0.0,,,95.0,91.0,174.0,155.0,,287.0,693.0,,,49.0,983784.0,,,,,,,,284.0,3605.0,,,0.0,,1.0,11134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.054,0.0,,,,10304.0,0.0,,457.0,214.0,3.246,,,,,,,,,,,,""
19353449146,"Jul 17, 2026, 1:51:26 PM",Easy,Run,Holy elevation,4473,10.00,171.0,29,false,,,activities/20472753255.fit.gz,,,4473.0,3849.0,10002.1,5.36,2.599,90.0,82.0,15.0,55.4,11.7,0.0,,,123.0,81.0,171.0,143.0,,225.0,631.0,,,29.0,852503.0,,,,,,,,230.0,4415.0,,,0.0,,1.0,10142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.236,0.0,,,,10198.0,0.0,,366.0,173.0,2.635,,,,,,,,,,,,""
19353443997,"Jul 16, 2026, 1:15:27 PM",Recovery,Run,"",1627,4.00,157.0,5,false,,,activities/20472747996.fit.gz,,,1627.0,1407.0,4000.0,4.78,2.843,0.0,0.0,,,0.0,0.0,,,91.0,75.0,157.0,114.0,,161.0,169.0,,,5.0,262145.0,,,,,,,,247.0,1628.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.459,0.0,,,,2898.0,0.0,,156.0,186.0,,,,,,,,,,,,,""
19317766261,"Jul 15, 2026, 1:05:52 AM",Night Weight Training,Weight Training,,2639,0,134.0,6,false,,,activities/20436493048.fit.gz,,,2639.0,2639.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,134.0,108.0,,,197.0,,,6.0,,,,,,,,,,,,,0.0,2676.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,188.0,,,,,,,,13,130,""
19317766441,"Jul 14, 2026, 10:57:46 PM",20x400 r90’,Run,Died quite hard on the last 5,6044,14.00,194.0,59,false,,,activities/20436493053.fit.gz,,,6044.0,4796.0,14008.2,6.26,2.921,107.0,109.0,173.0,187.0,48.6,0.0,,,118.0,80.0,194.0,148.0,,246.0,906.0,,,59.0,1133232.0,,,,,,,,266.0,5696.0,,,0.0,,1.0,14639.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.318,194.8,,,,11914.0,0.0,,632.0,200.0,3.053,,,,,,,,,,,,""
19307853080,"Jul 14, 2026, 12:22:13 AM",Easy,Run,"",3297,10.00,161.0,14,false,,,activities/20426433048.fit.gz,,,3297.0,3140.0,10005.3,4.4,3.186,32.0,29.0,177.2,187.6,10.9,0.0,,,93.0,88.0,161.0,136.0,,277.0,562.0,,,14.0,869363.0,,,,,,,,272.0,3299.0,,,0.0,,1.0,10104.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.035,0.0,,,,9182.0,0.0,,384.0,205.0,3.218,,,,,,,,,,,,""
19307852710,"Jul 12, 2026, 3:02:33 PM",Lunch Weight Training,Weight Training,,2613,0,132.0,4,false,,,activities/20426433011.fit.gz,,,2613.0,2613.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,132.0,94.0,,,175.0,,,4.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,208.0,,,,,,,,13,115,""
19283283822,"Jul 12, 2026, 1:41:52 PM",Recovery,Run,"",3540,9.62,172.0,23,false,,,activities/20401463136.fit.gz,,,3540.0,3311.0,9623.7,4.46,2.907,25.0,24.0,172.2,183.4,13.8,0.0,,,109.0,85.0,172.0,143.0,,250.0,599.0,,,23.0,825499.0,,,,,,,,254.0,3542.0,,,0.0,,1.0,9717.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.719,116.0,,,,9234.0,0.0,,358.0,191.0,2.935,,,,,,,,,,,,""
19275929657,"Jul 11, 2026, 11:57:59 PM",Evening Run,Run,Had to stop cuz of my stomach 😢😢😢,4150,9.01,170.0,16,false,,,activities/20393968490.fit.gz,,,4150.0,3522.0,9009.6,5.18,2.558,26.0,24.0,175.6,186.6,7.9,0.0,,,120.0,75.0,170.0,129.0,,207.0,489.0,,,16.0,726247.0,,,,,,,,238.0,3980.0,,,0.0,,1.0,9086.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.171,0.0,,,,8710.0,0.0,,354.0,179.0,2.58,,,,,,,,,,,,""
